Participant;Expert;Snippet;NumberOfFixations;FixationsPerSecond;Linearity;HasError;HitsBlock;HitsLine;HitsType;HitsReturnType;VerticalNext;VerticalLater;Regression;HorizontalLater;LineRegression;SaccadeLength;StoryOrder_Naive_Score;StoryOrder_Dynamic_Score;StoryOrder_Dynamic_Repetitions;ExecOrder_Naive_Score;ExecOrder_Dynamic_Score;ExecOrder_Dynamic_Repetitions
4a008c2b;True;arrayAverageMN;161;4.972051511688953;5;False;0.9254658385093167;0.6645962732919255;0.0;0.0;0.11214953271028037;0.14953271028037382;0.14018691588785046;0.4672897196261682;0.2336448598130841;30.916989642846083;-36;-9;4;-13;-2;3
5650734b;True;arrayAverageMN;136;3.9259836609797643;5;False;0.9779411764705882;0.6470588235294118;0.0;0.0;0.14772727272727273;0.25;0.26136363636363635;0.26136363636363635;0.2159090909090909;35.29875068764933;-64;-11;6;-40;2;3
1f719d25;True;arrayAverageMN;210;8.170570383627732;5;False;0.9523809523809523;0.719047619047619;0.0;0.0;0.1456953642384106;0.18543046357615894;0.1390728476821192;0.3576158940397351;0.31125827814569534;95.81382579691129;-66;-4;6;-36;30;4
100f6006;True;arrayAverageMN;135;6.478859720689159;5;False;0.9333333333333333;0.6888888888888889;0.0;0.0;0.13978494623655913;0.1827956989247312;0.12903225806451613;0.41935483870967744;0.25806451612903225;29.73653570301069;-26;22;3;3;7;2
3dc89518;True;arrayAverageLT;82;1.9834071064025347;5;False;0.9878048780487805;0.8170731707317073;0.08536585365853659;0.0;0.16417910447761194;0.2537313432835821;0.2537313432835821;0.2537313432835821;0.22388059701492538;33.64913635122845;-48;-10;4;-25;1;3
14cdf899;True;arrayAverageLT;269;6.224978594404462;5;False;0.9479553903345725;0.7026022304832714;0.05204460966542751;0.0037174721189591076;0.13756613756613756;0.1746031746031746;0.1746031746031746;0.4021164021164021;0.24338624338624337;27.392868901591022;-100;-25;9;-70;19;5
3bb48a47;True;arrayAverageLT;200;9.84009840098401;5;False;0.87;0.635;0.065;0.005;0.14173228346456693;0.1889763779527559;0.1732283464566929;0.3937007874015748;0.23622047244094488;48.60856730825131;-60;-14;4;-36;10;3
5ca4e6ea;True;arrayAverageLT;163;5.123691572627543;5;False;0.9447852760736196;0.803680981595092;0.03067484662576687;0.0;0.16793893129770993;0.17557251908396945;0.13740458015267176;0.2824427480916031;0.3969465648854962;25.1001035236652;-50;-8;5;-20;32;3
0833d15e;True;arrayAverageLT;262;6.129515253602845;5;False;0.9312977099236641;0.6793893129770993;0.08396946564885496;0.007633587786259542;0.12359550561797752;0.20786516853932585;0.19101123595505617;0.30337078651685395;0.29213483146067415;36.38148275605147;-110;3;9;-80;8;5
eab8e2ba;True;arrayAverageLT;353;3.539947251777495;5;False;0.9178470254957507;0.7393767705382436;0.042492917847025496;0.0;0.10344827586206896;0.1724137931034483;0.15708812260536398;0.3793103448275862;0.28735632183908044;23.752194677038286;-140;-20;11;-110;-5;7
